country,year,population,percentUrban,basic,limited,unimproved,surfaceWater,rate
Afghanistan,2024,42647,27,81,4,9,6,2.13
Albania,2024,2792,65,95,2,3,1,0.36
Algeria,2024,46814,76,92,5,1,2,0.14
American Samoa,2024,47,87,100,1,1,1,0.21
Andorra,2024,82,88,100,1,1,1,0
Angola,2024,37886,69,68,11,13,8,1.25
Antigua and Barbuda,2024,94,24,99,1,1,1,0.06
Armenia,2024,2974,64,100,1,1,1,0.18
Australia,2024,26713,87,100,1,1,1,0.01
Austria,2024,9121,60,100,1,1,1,0
Azerbaijan,2024,10337,58,98,1,1,1,0.92
Bahrain,2024,1607,90,100,1,1,1,0
Bangladesh,2024,173562,41,99,1,1,1,0.18
Barbados,2024,282,32,100,1,1,1,0.05
Belarus,2024,9057,81,100,1,1,1,0.09
Belgium,2024,11739,98,100,1,1,1,0
Belize,2024,417,47,95,1,4,1,0.23
Benin,2024,14463,51,70,7,20,3,0.36
Bermuda,2024,65,100,100,1,1,1,0
Bhutan,2024,792,45,100,1,1,1,0.66
Bolivia (Plurinational State of),2024,12413,72,93,1,2,5,0.51
"Bonaire, Sint Eustasius and Saba",2024,31,75,100,1,1,1,0.06
Bosnia and Herzegovina,2024,3164,51,96,4,1,1,-0.05
Botswana,2024,2521,73,92,4,4,1,0.68
Brazil,2024,211999,88,100,1,1,0,0.27
British Virgin Islands,2024,39,50,100,1,1,1,0.19
Brunei Darussalam,2024,463,79,100,1,1,1,0.02
Bulgaria,2024,6758,77,100,1,1,1,-0.02
Burkina Faso,2024,23549,33,50,32,18,1,-0.24
Burundi,2024,14048,15,66,20,14,0,0.67
Cabo Verde,2024,525,68,92,6,2,1,0.54
Cambodia,2024,17639,26,83,9,2,6,1.27
Cameroon,2024,29124,60,71,15,9,4,0.65
Canada,2024,39742,82,98,1,2,1,-0.05
Cayman Islands,2024,74,100,95,1,5,1,-
Central African Republic,2024,5331,44,37,27,33,3,-0.94
Chad,2024,20299,25,52,13,28,7,0.57
Chile,2024,19765,88,100,1,1,1,0.11
China,2024,1442535,66,96,1,4,1,0.65
"China, Hong Kong SAR",2024,7415,100,100,1,1,1,0.05
"China, Macao SAR",2024,720,100,100,1,1,1,0
Colombia,2024,52886,83,97,1,3,0,0.26
Comoros,2024,867,30,85,11,4,1,-0.1
Cook Islands,2024,14,76,100,1,1,1,-0.02
Costa Rica,2024,5130,83,100,1,1,1,0.22
Côte d'Ivoire,2024,31934,54,77,7,13,3,0.35
Croatia,2024,3875,59,100,1,1,0,0.05
Cuba,2024,10980,78,95,3,2,1,0.14
Curaçao,2024,185,89,100,1,1,1,0.05
Cyprus,2024,1358,67,100,1,1,1,-0.01
Czechia,2024,10736,75,99,1,1,1,0.03
Democratic Republic of the Congo,2024,109276,48,36,24,32,8,-0.08
Denmark,2024,5977,89,100,1,1,1,0
Djibouti,2024,1169,79,80,16,4,1,0.22
Dominica,2024,66,72,97,1,1,2,0.11
Dominican Republic,2024,11428,85,97,1,1,1,0.27
Ecuador,2024,18135,65,92,4,2,2,0.3
Egypt,2024,116538,43,97,1,2,1,-0.07
El Salvador,2024,6338,76,92,7,1,1,0.24
Estonia,2024,1361,70,100,1,1,1,0.11
Eswatini,2024,1243,25,80,6,5,9,1.17
Ethiopia,2024,132060,24,56,28,13,4,1.53
Faroe Islands,2024,55,43,100,1,1,1,0
Fiji,2024,929,59,96,1,2,2,0.03
Finland,2024,5617,86,100,1,1,1,0
France,2024,66549,82,100,1,1,1,0
French Guiana,2024,309,87,95,1,5,1,-
French Polynesia,2024,282,62,100,1,1,1,0
Gabon,2024,2539,91,89,6,4,2,0.36
Gambia,2024,2760,65,87,6,7,1,0.64
Georgia,2024,3808,61,97,1,2,1,0.13
Germany,2024,84552,78,100,1,1,1,0
Ghana,2024,34427,60,90,4,1,4,1.02
Gibraltar,2024,39,100,100,1,1,1,0
Greece,2024,10048,81,100,1,1,1,0.01
Greenland,2024,56,88,100,1,1,1,0
Guadeloupe,2024,375,99,100,1,1,1,-
Guam,2024,168,95,100,1,1,1,0
Guatemala,2024,18406,54,93,2,4,1,0.24
Guinea,2024,14755,39,74,12,8,6,1.02
